id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
18989795,Bed and breakfast in Edinburgh · 2 bedrooms · 2 beds · 1 bath,132465846,Katie,,Bruntsfield,55.94139,-3.20571,Private room,206,3,2,2022-08-09,0.03,1,0,0,
18992223,Home in Edinburgh · ★4.98 · 1 bedroom · 1 bed · 1.5 baths,4750242,Mandy,,Liberton East,55.90994,-3.14999,Private room,42,2,142,2023-09-03,1.91,1,7,42,
18996540,Condo in Edinburgh · ★5.0 · 3 bedrooms · 3 beds · 1 bath,79455326,Tanya,,Shandon,55.93571,-3.22414,Entire home/apt,243,3,9,2021-08-13,0.12,2,0,0,
19003438,Rental unit in Edinburgh · ★4.96 · 2 bedrooms · 3 beds · 1 bath,98973047,Emma,,"Old Town, Princes Street and Leith Street",55.95023,-3.1836,Entire home/apt,172,2,539,2023-09-10,7.06,1,132,99,
19016831,Rental unit in United Kingdom · ★4.98 · 1 bedroom · 1 bed · 1.5 baths,132685765,Tom,,New Town East and Gayfield,55.95764,-3.19368,Entire home/apt,129,2,219,2023-09-08,2.89,1,0,45,
19017506,Condo in Edinburgh · ★4.96 · 2 bedrooms · 5 beds · 1 bath,132690698,Charisse,,Hillside and Calton Hill,55.95664,-3.17671,Entire home/apt,114,3,205,2020-09-19,2.71,1,0,0,
19030214,Serviced apartment in Edinburgh · ★4.82 · Studio · 1 bed · 1 bath,241635233,Eden,,Deans Village,55.95232,-3.20537,Hotel room,311,1,45,2023-04-11,0.65,7,313,4,
19030995,Aparthotel in Edinburgh · ★5.0 · Studio · 1 bed · 1 private bath,241635233,Eden,,Deans Village,55.95232,-3.20537,Hotel room,323,1,4,2023-04-25,0.06,7,291,2,
19041710,Condo in Edinburgh · ★4.56 · 3 bedrooms · 3 beds · 1 bath,132902235,Jian,,Craigmillar,55.93036,-3.137,Entire home/apt,14327,2,34,2023-07-09,0.45,2,1,6,
19044990,Condo in Edinburgh · ★4.64 · 2 bedrooms · 2 beds · 1 bath,6073608,Morgan,,Marchmont East and Sciennes,55.93914,-3.18617,Entire home/apt,142,3,11,2023-08-28,0.22,1,125,7,
19045111,Rental unit in Edinburgh · ★4.83 · 1 bedroom · 1 bed · 1 shared bath,35537605,Claire,,Deans Village,55.94887,-3.21663,Private room,86,4,84,2023-09-05,1.11,2,41,16,
19049384,Townhouse in Edinburgh · ★4.80 · 1 bedroom · 1 bed · 1 shared bath,101731795,Mike,,"Blackford, West Mains and Mayfield Road",55.92866,-3.16954,Private room,40,5,382,2023-09-02,5.10,8,22,34,
19065038,Rental unit in Edinburgh · ★4.95 · 1 bedroom · 1 bed · 1 bath,29862077,Marianne,,Portobello,55.95493,-3.11173,Entire home/apt,100,5,39,2023-06-24,0.52,1,26,10,
19065185,Rental unit in Edinburgh · ★4.80 · 1 bedroom · 1 bed · 1 bath,111408683,Greg And Jo,,Dalry and Fountainbridge,55.946,-3.21386,Entire home/apt,167,2,225,2023-08-28,2.97,6,339,25,
19066534,Rental unit in Edinburgh · ★4.77 · 2 bedrooms · 2 beds · 1 bath,111408683,Greg And Jo,,Tollcross,55.94637,-3.21325,Entire home/apt,208,2,165,2023-08-20,2.18,6,346,22,
19068741,Rental unit in Edinburgh · ★4.95 · 1 bedroom · 1 bed · 1 shared bath,57008568,Lauren,,South Leith,55.96798,-3.17379,Private room,70,3,22,2019-08-27,0.30,1,0,0,
19069233,Rental unit in Edinburgh · ★4.52 · 1 bedroom · 1 bed · 1.5 baths,69642555,Grant,,"Canongate, Southside and Dumbiedykes",55.94423,-3.18381,Entire home/apt,116,30,160,2023-08-11,2.13,1,7,22,
19079856,Rental unit in Edinburgh · ★4.70 · 1 bedroom · 1 shared bath,97482045,Ruda,,Murrayburn and Wester Hailes North,55.91712,-3.28064,Private room,55,1,23,2023-08-17,0.30,2,0,2,
19081787,Rental unit in Edinburgh · ★4.52 · 1 bedroom · 1 bed · 1 shared bath,50935692,Laura,,Easter Road and Hawkhill Avenue,55.9633,-3.16872,Private room,79,1,203,2023-08-24,2.67,1,0,20,
19084176,Townhouse in Edinburgh · ★4.95 · 2 bedrooms · 3 beds · 1 bath,19172592,Fiona,,"Blackford, West Mains and Mayfield Road",55.92029,-3.16859,Entire home/apt,170,2,41,2023-09-10,0.55,1,16,11,
19090463,Rental unit in Edinburgh · ★4.43 · 2 bedrooms · 2 beds · 1 bath,28166815,Paula,,Muirhouse,55.96598,-3.26011,Entire home/apt,151,3,7,2023-08-01,0.10,1,17,3,
19091388,Condo in Edinburgh · ★4.81 · 2 bedrooms · 2 beds · 1 bath,45531153,Caroline,,"Canongate, Southside and Dumbiedykes",55.952670225426225,-3.179462352028209,Entire home/apt,129,2,347,2023-09-03,4.66,3,58,77,
19095863,Rental unit in Edinburgh · ★4.81 · 1 bedroom · 1 bed · 1 bath,90291167,Marta,,Abbeyhill,55.95396,-3.16951,Entire home/apt,156,2,356,2023-08-24,4.75,6,128,53,
19097219,Rental unit in Edinburgh · ★4.89 · 1 bedroom · 2 beds · 1 bath,43279200,Philip,,The Shore and Constitution Street,55.97538,-3.17357,Entire home/apt,79,3,264,2020-03-23,3.47,2,0,0,
19106968,Rental unit in Edinburgh · ★4.74 · 1 bedroom · 1 bed · 2 baths,133497716,Maria,,Tollcross,55.9455,-3.20071,Entire home/apt,63,3,199,2020-09-07,2.65,1,0,0,
19117212,Rental unit in Edinburgh · ★4.69 · 2 bedrooms · 2 beds · 1 bath,277026844,Paulina,,Craiglockhart,55.92959,-3.23623,Entire home/apt,168,2,105,2023-08-27,1.39,1,9,59,
19126582,Rental unit in Edinburgh · ★4.32 · 1 bedroom · 1 bed · 1.5 shared baths,133257634,Abejide,,Gilmerton South and the Murrays,55.8988,-3.14596,Private room,51,1,22,2023-09-01,0.29,1,360,6,
19126815,Rental unit in Edinburgh · ★4.17 · 1 bedroom · 1 bed · 1 bath,646220,Reserve,,Meadowbank and Abbeyhill North,55.9589,-3.16339,Entire home/apt,190,1,6,2022-11-21,0.09,51,5,2,
19128689,Rental unit in Edinburgh · ★4.96 · 1 bedroom · 1 bed · 1 shared bath,133691142,Liz,,Meadows and Southside,55.94149,-3.20311,Private room,85,2,178,2023-09-07,2.40,1,269,45,
19149474,Home in Edinburgh · ★4.80 · 1 bedroom · 1 bed · 1 private bath,132906405,Julia,,New Town East and Gayfield,55.95922,-3.18707,Private room,95,2,323,2023-09-06,4.26,1,24,79,
19169276,Condo in Edinburgh · ★4.58 · 1 bedroom · 1 bed · 1.5 shared baths,66019497,Rocco,,Meadowbank and Abbeyhill North,55.96055,-3.16347,Private room,97,2,12,2022-08-23,0.17,1,0,0,
19170073,Bungalow in Edinburgh · ★4.85 · 2 bedrooms · 2 beds · 1 private bath,134061970,Herbert,,Colinton Mains and Firrhill,55.90666,-3.23062,Private room,44,2,33,2022-08-29,0.44,1,0,0,
19189379,Rental unit in Edinburgh · ★4.57 · 1 bedroom · 1 bed · 1 bath,23581354,Natalia & James,,Hillside and Calton Hill,55.95955,-3.16916,Entire home/apt,73,3,258,2023-08-23,3.41,4,60,43,
19195567,Rental unit in Edinburgh · ★4.92 · 1 bedroom · 1 bed · 1 shared bath,134280176,Julie,,Portobello,55.9585,-3.12087,Private room,50,1,105,2023-07-08,1.42,1,92,36,
19196873,Rental unit in Edinburgh · ★4.88 · 1 bedroom · 1 bed · 1 bath,134293140,Leon,,Gorgie East,55.94255281459995,-3.2242471412461398,Entire home/apt,134,4,8,2023-08-21,3.58,1,0,8,
19199129,Rental unit in Edinburgh · ★4.85 · 1 bedroom · 1 bed · 1 bath,27393198,Gill,,Polwarth,55.93809,-3.219,Entire home/apt,150,3,46,2023-08-28,0.62,1,0,4,
19220461,Rental unit in Edinburgh · ★4.89 · 1 bedroom · 1 bed · 1 private bath,134530303,Pete & Laura,,New Town East and Gayfield,55.95716,-3.19013,Private room,69,2,195,2023-09-09,2.63,1,2,55,
